A,Verb,B,Count
diffusion element,admit,purge gas,1
purge gas,be,evacuation ring,1
purge gas,form,evacuation ring,1
evacuation ring,surround,diffusion element,1
diffusion element,be,baking chamber,1
diffusion element,arrange,baking chamber,1
assembly site,put,magnetic material,1
assembly site,have,magnetic material,1
fluid chamber,apply,magnetic force,1
magnetic force,move,fluid chamber,1
fluid chamber,guide,electric field,1
fluid chamber,preset,electric field,1
fluid chamber,apply,electric field,1
particle detection,include,chuck stage,1
chuck stage,configure,second adsorption holes,1
chuck stage,seat,second adsorption holes,1
second adsorption holes,shape,closed concentric curves,1
closed concentric curves,pass,chuck stage,1
first adsorption module,connect,chuck stage,1
module,connect,chuck stage,1
chip transferring machine,include,chip carrier,1
chip transferring module,include,conveyor belt,1
conveyor belt,have,adhesive surface,1
chip carrier substrate,be,chip carrier,1
chip carrier substrate,dispose,chip carrier,1
chip carrier substrate,be,adhesive surface,1
chip carrier substrate,dispose,adhesive surface,1
bonding applications,include,end effector,1
end effector,have,frame member,1
floating carrier,connect,frame member,1
frame member,form,floating carrier,1
frame member,wherein,floating carrier,1
centered semiconductor wafer pairs,use,end effector,1
centered semiconductor wafer pairs,bond,end effector,1
micro components,comprise,carrying unit,1
micro components,arrange,carrying unit,1
carrying unit,provide,temperature control conduit,1
carrying unit,dip,adhesive material,1
adhesive material,feed,temperature control conduit,1
temperature control conduit,move,carrying unit,1
micro components,press,carrying unit,1
carrying unit,press,micro components,1
micro components,desire,adhesive material,1
adhesive material,press,micro components,1
micro components,control,adhesive material,1
stacking apparatus,stack,holding members,1
stacking apparatus,include,holding members,1
stacking apparatus,include,carrying unit,1
carrying unit,carry,holding members,1
carrying unit,hold,holding members,1
carrying unit,be,holding members,1
carrying unit,select,holding members,1
vacuum chuck,include,adsorption plate,1
adsorption plate,include,porous materials,1
porous materials,include,adsorption grooves,1
adsorption plate,be,adsorption grooves,1
adsorption plate,dispose,adsorption grooves,1
vacuum chuck,include,vacuum line,1
vacuum line,configure,vacuum pressure,1
vacuum line,supply,vacuum pressure,1
substrate processing apparatus,include,substrate heating unit,1
substrate heating unit,arrange,attitude changing unit,1
substrate heating unit,heat,attitude changing unit,1
substrate heating unit,support,attitude changing unit,1
attitude changing unit,arrange,substrate heating unit,1
attitude changing unit,cause,substrate heating unit,1
substrate heating unit,undergo,attitude change,1
organic solvent removing step,be,substrate heating unit,1
organic solvent removing step,perform,substrate heating unit,1
organic solvent removing step,follow,substrate heating unit,1
organic solvent removing step,heat,substrate heating unit,1
shallow trench isolation defects,include,semiconductor device,1
shallow trench isolation defects,fill,semiconductor device,1
shallow trench isolation defects,form,semiconductor device,1
planar area,include,first lateral distance,1
first oxide,be,planar area,1
first oxide,remove,planar area,1
single trench damascene interconnect formation,use,TiN HMO,1
hardmask,extend,ILD,1
hardmask,form,ILD,1
hardmask,remove,ILD,1
hardmask,bury,ILD,1
hardmask,use,sidewall image transfer,1
semiconductor structure,form,substrate,1
semiconductor wafer,include,first stress distribution,1
first radiation process,induce,second stress distribution,1
radiation process,include,laser energy,1
radiation process,apply,laser energy,1
stacked semiconductor device,have,top surface,1
side surface,connect,top surface,1
bottom surface,be,substrate layer,1
bottom surface,form,substrate layer,1
rear side contact layer,arrange,substrate layer,1
top surface,be,passivation layer,1
top surface,form,passivation layer,1
devices,pattern,nanosheet channels,1
nanosheet stacks,deposit,amorphous HK layer,1
nanosheet stacks,anneal,amorphous HK layer,1
nanosheet stacks,create,amorphous HK layer,1
nanosheet stacks,deposit,dipole material,1
nanosheet stacks,provide,gate threshold voltages,1
semiconductor device,include,semiconductor strip,1
semiconductor device,form,semiconductor strip,1
semiconductor strip,protrude,isolation regions,1
semiconductor strip,form,isolation regions,1
isolation regions,oppose,semiconductor strip,1
semiconductor strip,recess,isolation regions,1
first chamber,use,first etching process,1
first etching process,increase,isolation regions,1
first chamber,use,etching process,1
semic,have,first semiconductor die,1
conductive layer,form,first semiconductor die,1
second semiconductor die,be,first,1
second semiconductor die,dispose,first,1
first semiconductor die,contact,side surface,1
conductive material,be,second,1
conductive material,form,second,1
conductive layer,extend,side surface,1
semiconductor die,interlock,side surface,1
semiconductor device,include,lower wiring,1
lower wiring,include,upper wiring,1
interlayer insulating film,connect,upper wiring,1
dielectric layer,cover,conductive pad,1
etching process,be,conductive pad,1
etching process,form,conductive pad,1
etching process,expose,conductive pad,1
conductive pad,be,fuse structure,1
conductive pad,form,fuse structure,1
dielectric layer,have,etching rate,1
etching stop layer,have,etching rate,1
stack body,include,metal films,1
first insulating films,stack,semiconductor substrate,1
semiconductor substrate,include,stepped,1
conducting films,protrude,metal films,1
contact portions,provide,conducting films,1
second insulating film,surround,contact portions,1
barrier metal film,provide,second insulating film,1
conducting films,be,barrier metal film,1
conducting films,cover,barrier metal film,1
grounding wire 15,connect,resistor 14,1
grounding wire 15,ground,resistor 14,1
conveyance path,convey,11,1
11,be,conveyance path,1
11,slide,conveyance path,1
11,form,conveyance path,1
11,convey,conveyance path,1
resistor 14,have,resistance value,1
semic,have,bonded semiconductor devices,1
first dielectric portion,form,portion,1
first dielectric portion,have,portion,1
semiconductor integrated circuit,comprise,protection circuit,1
semiconductor integrated circuit,have,protection circuit,1
semiconductor integrated circuit,be,protection circuit,1
semiconductor integrated circuit,protect,protection circuit,1
semiconductor integrated circuit,accumulate,protection circuit,1
protection circuit,comprise,bipolar transistor,1
bipolar transistor,have,control terminal,1
bipolar transistor,connect,control terminal,1
protection circuit,be,reference voltage terminal,1
protection circuit,allow,reference voltage terminal,1
gate cut opening,extend,semiconductor structures,1
gate cut opening,separate,semiconductor structures,1
gate cut isolation,be,gate cut opening,1
gate cut isolation,form,gate cut opening,1
gate cut isolation,include,oxide body,1
gate cut isolation,include,nitride liner,1
nitride liner,contact,oxide body,1
charge trap layer,include,curvature,1
curvature,be,layer,1
substrate processing apparatus,process,cylindrical grinding part,1
substrate processing apparatus,include,cylindrical grinding part,1
substrate processing apparatus,rotate,cylindrical grinding part,1
cylindrical grinding part,connect,lateral groove,1
MIM capacitor,include,first insulating layer,1
first spacer,be,first insulating layer,1
first spacer,locate,first insulating layer,1
fin structure,form,channel layer,1
fin structure,form,gate stack,1
taper angle,be,TEOS oxide layer 42,1
semiconductor substrate,control,first dielectric layer,1
first dielectric layer,support,semiconductor substrate,1
transistor structure,include,doped well,1
transistor structure,provide,doped well,1
epitaxial layer,form,axial layer,1
epitaxial layer,dispose,axial layer,1
epitaxial layer,contact,axial layer,1
epitaxial layer,surround,second epitaxial layer,1
semiconductor substrate,have,active area,1
shallow trench isolation,surround,active area,1
semiconductor substrate,include,protrusion structure,1
dielectric layer,overlay,protrusion structure,1
drain semiconductor feature,be,active area,1
drain semiconductor feature,locate,active area,1
active area,position,gate structure,1
spinning substrate,immerse,liquid film,1
reducing gas atmosphere,heat,250 degrees Celsius,1
ultraviolet light generation device,irradiate,control unit,1
ultraviolet light generation device,be,control unit,1
control unit,configure,defect distribution,1
control unit,perform,defect distribution,1
control unit,acquire,defect distribution,1
imprint apparatus,form,imprint material,1
imprint material,use,mold,1
mold,comprise,control unit,1
control unit,configure,mold,1
control unit,control,mold,1
control unit,deform,mold,1
mold,wherein,control unit,1
control unit,base,mold,1
control unit,indicate,mold,1
target relative tilt,generate,mold,1
mold,set,target relative tilt,1
insulating structure,abut,closed loop,1
insulating structure,define,closed loop,1
closed loop,form,insulating region,1
insulating structure,include,closed loop,1
insulating structure,etch,closed loop,1
insulating structure,fill,closed loop,1
insulating structure,convert,closed loop,1
reaction system,include,showerhead,1
showerhead,be,gated nanochannel grid,1
showerhead,configure,gated nanochannel grid,1
gated nanochannel grid,prevent,gaseous precursors,1
gated nanochannel grid,allow,non-polar molecules,1
joining block,include,vertical flow path,1
joining block,be,rail member,1
joining block,constrain,rail member,1
fluid control device,be,rail member,1
fluid control device,support,rail member,1
joining block,include,screw hole,1
tightening bolt,have,fluid control device,1
tightening bolt,pass,fluid control device,1
fluid control device,be,screw hole,1
fluid control device,screw,screw hole,1
joining block,tighten,tightening bolt,1
screw hole,include,horizontal flow path,1
screw hole,close,horizontal flow path,1
wafer loading unit,use,probe card,1
wafer loading unit,load,probe card,1
wafer loading unit,use,carrying mechanism,1
wafer loading unit,test,carrying mechanism,1
carrying mechanism,include,central connector,1
central connector,correspond,wafer,1
wafer,load,unit,1
unit,have,probe card,1
unit,wherein,probe card,1
probe card,be,central connector,1
probe card,connect,central connector,1
central connector,face,peripheral connector,1
central connector,load,peripheral connector,1
peripheral connector,have,central connector,1
peripheral connector,wherein,central connector,1
central connector,be,first temperature regulation unit,1
first temperature regulation unit,dispose,peripheral connector,1
pedestal,provide,process chamber,1
plasma processing apparatus,include,first gas supply part,1
first gas supply part,configure,pedestal,1
first gas supply part,be,pedestal,1
first gas supply part,supply,pedestal,1
first gas supply part,face,pedestal,1
shield part,block,pedestal,1
shield part,convert,pedestal,1
shield part,plasma,pedestal,1
shield part,be,pedestal,1
shield part,provide,pedestal,1
plasma processing apparatus,include,evacuation part,1
evacuation part,configure,process chamber,1
evacuation part,evacuate,process chamber,1
holding unit,hold,processing liquid supply unit,1
processing liquid supply unit,supply,peripheral wall portion,1
processing liquid supply unit,include,peripheral wall portion,1
peripheral wall portion,erect,liquid receiving portion,1
liquid receiving portion,provide,holding unit,1
liquid receiving portion,configure,holding unit,1
liquid receiving portion,receive,holding unit,1
liquid receiving portion,scatter,holding unit,1
liquid receiving portion,form,holding unit,1
liquid receiving portion,surround,holding unit,1
atomic layer deposition,include,core material,1
atomic layer deposition,planarizing,core material,1
atomic layer deposition,etch,core material,1
core material,form,symmetrical spacers,1
atomic layer etching,include,inert gas,1
atomic layer etching,modify,inert gas,1
conformal film,pattern,atomic layer etching,1
conformal film,use,atomic layer etching,1
post chemical mechanical polishing,clean,semiconductor wafer,1
nitrogen degas,introduce,reducing agent,1
patterned topography,comprise,design macros,1
ography,pattern,critical dimension,1
ography,give,critical dimension,1
ography,measure,critical dimension,1
metrology,utilize,critical dimensions,1
metrology,measure,critical dimensions,1
metrology,generate,planarization performance,1
planarization performance,give,critical dimensions,1
planarization performance,relate,critical dimensions,1
planarization performance,measure,critical dimensions,1
semiconductor substrate,have,capping layer,1
cavity,define,semiconductor layer,1
semiconductor layer,extend,cavity,1
substrate treating device,substrates,etching treatment,1
substrate treating device,perform,etching treatment,1
substrate treating device,include,total liquid exchange,1
substrate treating device,treat,total liquid exchange,1
substrate treating device,perform,total liquid exchange,1
total liquid exchange,base,concentration control unit,1
DSA film,form,heating plate,1
DSA film,hold,heating plate,1
solvent containing gas,be,heating plate,1
solvent containing gas,hold,heating plate,1
thermal processing,be,DSA film,1
thermal processing,perform,DSA film,1
ion implantation apparatus,be,alignment mechanism,1
ion implantation apparatus,provide,alignment mechanism,1
ion implantation apparatus,transfer,alignment mechanism,1
ion implantation apparatus,wherein,alignment mechanism,1
alignment mechanism,comprise,elevator,1
atmospheric robots,be,alignment mechanism,1
atmospheric robots,configure,alignment mechanism,1
atmospheric robots,transfer,alignment mechanism,1
vacuum robots,be,process module,1
vacuum robots,configure,process module,1
vacuum robots,transfer,process module,1
electrostatic chuck,retain,cooling channels,1
electrostatic chuck,have,cooling channels,1
cooling channels,form,upper surface,1
raised central support,dispose,cooling channels,1
dielectric top plate,dispose,embossed top surface,1
dielectric top plate,wherein,embossed top surface,1
dielectric top plate,have,embossed top surface,1
embossed top surface,wherein,dielectric top plate,1
raised central support,include,cooling channels,1
raised central support,facilitate,cooling channels,1
cooling channels,dispose,embossed top surface,1
semiconductor product testing device,use,electric static carrier,1
electric static carrier,include,movable carrier plate,1
movable carrier plate,be,electric static circuit,1
movable carrier plate,arrange,electric static circuit,1
electric static circuit,suck,control,1
electric static circuit,be,control,1
electric static circuit,derive,control,1
control,control,computer,1
computer,provide,robot,1
computer,cause,robot,1
computer,determine,robot,1
computer,test,robot,1
computer,move,robot,1
light emitting diodes,include,polymer layer,1
light emitting diodes,embed,polymer layer,1
source wafer,have,patterned sacrificial layer,1
patterned sacrificial layer,define,anchor portions,1
anchor portions,separate,sacr,1
patterned device layer,dispose,sacr,1
tether,comprise,tether device portion,1
tether device portion,dispose,tether anchor portion,1
semiconductor structure,determine,process parameters,1
epitaxial smoothing process,base,removal map profile,1
removal map profile,remove,epitaxial smoothing process,1
removal map profile,perform,epitaxial smoothing process,1
contact structure,include,dielectric,1
etch loading effects,be,dielectric,1
etch loading effects,pattern,dielectric,1
dielectric,have,sacrificial spacer,1
dielectric,deposit,sacrificial spacer,1
sacrificial spacer,extend,dielectric,1
dielectric,have,stepped sidewall profile,1
stepped sidewall profile,remove,sacrificial spacer,1
sacrificial spacer,fill,conductive material,1
conductive material,form,contact structure,1
fully aligned vias,recess,conductive lines,1
conductive lines,grow,first dielectric regions,1
conductive lines,form,capping layer,1
first dielectric regions,deposit,layer,1
capping layer,form,conductive lines,1
conductive lines,remove,capping layer,1
first line trenches,form,dielectric layer,1
Sacrificial spacers,be,dielectric layer,1
Sacrificial spacers,form,dielectric layer,1
Second line trenches,be,dielectric layer,1
Second line trenches,form,dielectric layer,1
second,be,conductive material,1
second,fill,conductive material,1
conductive material,form,conductive lines,1
sacr,be,isolation material,1
sacr,replace,isolation material,1
semiconductor device,provide,silicon wafer,1
silicon wafer,have,etch stop layer,1
silicon wafer,raise,etch stop layer,1
silicon wafer,deposit,etch stop layer,1
etch stop layer,produce,FEOL process,1
FEOL process,etch,side wall insulation layers,1
FEOL process,form,side wall insulation layers,1
FEOL process,deposit,side wall insulation layers,1
side wall insulation layers,form,conductor path stack,1
side wall insulation layers,fill,conductor path stack,1
side wall insulation layers,produce,conductor path stack,1
BEOL process,contact,conductor path stack,1
BEOL process,bond,conductor path stack,1
BEOL process,wafer,conductor path stack,1
semiconductor structure,disclose,semiconductor substrate,1
semiconductor structure,include,recessed gate structure,1
gate spacer,dispose,recessed gate structure,1
gate spacer,oppose,recessed gate structure,1
semiconductor structure,include,first conductive material,1
first conductive material,dispose,interlevel dielectric layer,1
interlevel dielectric layer,dispose,top surface,1
semiconductor structure,define,exposed top surface,1
semiconductor structure,include,second,1
insulator,have,convex dome shape,1
insulator,have,concave divots,1
shallow trench isolation structure,include,semiconductor substrate,1
semiconductor substrate,have,first isolation region,1
first isolation,have,second isolation region,1
first isolation,dope,second isolation region,1
semiconductor structure,include,gate cut mask,1
gate cut mask,have,multiple sacrificial gate structures,1
multiple sacrificial gate structures,have,in structures,1
multiple sacrificial gate structures,be,in structures,1
multiple sacrificial gate structures,form,in structures,1
gate cut mask,be,multiple sacrificial gate structures,1
gate cut mask,form,multiple sacrificial gate structures,1
semiconductor fins,underlie,multiple sacrificial gate structures,1
deposition phase,be,activation phase,1
deposition phase,perform,activation phase,1
feedback control signals,be,iterative etch process,1
feedback control signals,acquire,iterative etch process,1
iterative etch process,adjust,feedback control signals,1
iterative etch process,base,feedback control signals,1
iterative etch process,determine,feedback control signals,1
iterative etch process,analyze,feedback control signals,1
semiconductor structure,include,thermocompression bonded superconducting metal layer,1
semiconductor structure,provide,thermocompression bonded superconducting metal layer,1
thermocompression bonded superconducting metal layer,sandwich,silicon substrate,1
second,include,through silicon vias,1
through silicon vias,use,thermocompression bonded superconducting metal layer,1
semiconductor device wafer,form,bonded wafer,1
bonded wafer,bond,carrier wafer,1
carrier wafer,apply,grinding process,1
grinding process,form,device structure members,1
device structure members,remove,carrier wafer,1
carrier wafer,apply,implanting process,1
annealing process,apply,metallization process,1
metallization process,apply,singulation process,1
frontside structure,be,semiconductor wafer,1
frontside structure,form,semiconductor wafer,1
afer,reduce,semiconductor wafer,1
molding material,mold,device die,1
bonding features,include,corner bonding feature,1
substrate processing apparatus 30,include,first holding unit 200,1
first holding unit 200,configure,second holding unit 300,1
first holding unit 200,hold,second holding unit 300,1
second holding unit 300,dispose,first holding unit 200,1
second holding unit 300,face,first holding unit 200,1
first holding unit 200,configure,ultraviolet irradiation unit 400,1
first holding unit 200,hold,ultraviolet irradiation unit 400,1
ultraviolet irradiation unit 400,configure,second holding unit 300,1
ultraviolet irradiation unit 400,irradiate,second holding unit 300,1
ultraviolet irradiation unit 400,provide,second holding unit 300,1
second holding unit 300,be,ultraviolet transmissive material,1
second holding unit 300,make,ultraviolet transmissive material,1
electrode 320,configure,second holding unit 300,1
electrode 320,attract,second holding unit 300,1
electrode 320,be,second holding unit 300,1
electrode 320,provide,second holding unit 300,1
diffusion layer 330,configure,electrode 320,1
diffusion layer 330,diffuse,electrode 320,1
diffusion layer 330,be,electrode 320,1
diffusion layer 330,provide,electrode 320,1
substrate,dispose,top surface,1
substrate,surround,vertical fin,1
isolation layer,dispose,vertical fin,1
first crystalline orientation,provide,first,1
vertical fin,include,insulator,1
crystalline orientation,provide,second vertical transport channel,1
semiconductor arrangement,include,substrate,1
fins,form,substrate,1
substrate,extend,gate stacks,1
gate stacks,form,substrate,1
substrate,cross,fins,1
substrate,intersect,fins,1
dummy gates,compose,dielectric,1
dielectric,extend,dummy gates,1
dielectric,form,dummy gates,1
lithography,manufacture,semiconductor arrangement,1
semiconductor device,penetrate,first insulator,1
semiconductor,provide,outer side surface,1
second insulator,couple,oxide film,1
second insulator,include,oxide film,1
oxide film,provide,surface,1
surface,penetrate,semiconductor,1
surface,include,semiconductor,1
semiconductor memory,include,substrate,1
first semiconductor portions,arrange,substrate,1
first semiconductor portions,intersect,substrate,1
first gate electrode,extend,first,1
first,face,first semiconductor portions,1
first semiconductor portions,intersect,first,1
insulating portion,provide,first,1
first wiring,separate,second,1
first wiring,connect,second,1
electrode,face,insulating portion,1
wiring lines,space,adjacent wiring lines,1
air gap,space,adjacent wiring lines,1
air gap,select,adjacent wiring lines,1
sidewall spacer,be,gate electrode,1
sidewall spacer,arrange,gate electrode,1
elongated semiconductor structure,extend,semiconductor structure,1
elongated semiconductor structure,protrude,semiconductor structure,1
elongated semiconductor structure,wherein,semiconductor structure,1
elongated semiconductor structure,be,semiconductor structure,1
elongated semiconductor structure,form,semiconductor structure,1
elongated semiconductor structure,extend,substrate,1
semiconductor structure,form,contact portion,1
semiconductor structure,wherein,contact portion,1
semiconductor structure,include,contact portion,1
semiconductor structure,extend,contact portion,1
contact portion,form,landing portion,1
landing portion,protrude,semiconductor structure,1
landing portion,extend,semiconductor structure,1
protective cap layer,form,sacrificial fill layer,1
protective cap layer,deposit,recess,1
recess,form,dielectric fill layer,1
capping layer,remove,semiconductor nanosheet segments,1
capping layer,form,semiconductor nanosheet segments,1
field effect transistor,form,metal gate,1
conformal dielectric layer,perform,conformal metal deposition,1
conformal dielectric layer,cluster,conformal metal deposition,1
gate quality,have,critical dimension,1
critical dimension,and/or,aspect ratio,1
interfacial layer,be,semiconductor fin,1
interfacial layer,form,semiconductor fin,1
insulating layer,be,interfacial layer,1
insulating layer,form,interfacial layer,1
insulating layer,be,conductive gate layers,1
insulating layer,encapsulate,conductive gate layers,1
fin structure,have,porous core,1
semiconductor device,include,strained semiconductor layer,1
fin structure,oppose,gate structure,1
dummy gate structure,remove,first fin recess,1
dummy gate structure,form,first fin recess,1
first fin recess,remove,second fin recess,1
first fin recess,form,second fin recess,1
second fin recess,form,first fin recess,1
Semiconductor devices,include,doped drain structure,1
doped drain structure,have,intrinsic channel layer,1
doped source structure,be,channel layer,1
doped source structure,form,channel layer,1
doped source structure,have,channel layer,1
magnetic tunnel junction element,prevent,degradation,1
multilayer film,have,magnetic film,1
oxidation film,have,mask layer,1
oxidation film,be,mask layer,1
oxidation film,generate,mask layer,1
mask layer,pattern,multilayer film,1
mask layer,form,multilayer film,1
multilayer film,etch,multil,1
multilayer film,be,multil,1
multilayer film,perform,multil,1
mask layer,be,hydrogen gas,1
mask layer,form,hydrogen gas,1
mask layer,use,hydrogen gas,1
substrate processing method,include,processing liquid,1
processing liquid,contain,transfer container,1
processing liquid,form,transfer container,1
processing liquid,require,transfer container,1
processing liquid,be,transfer container,1
processing liquid,perform,transfer container,1
substrate processing apparatus,include,substrate rotating mechanism,1
moving portion,move,controller,1
moving portion,discharge,controller,1
reaction tube,process,seal cap,1
seal cap,provide,substrate retainer,1
substrate retainer,retain,reaction tube,1
substrate retainer,configure,reaction tube,1
substrate retainer,close,reaction tube,1
reaction tube,elevate,seal cap,1
SiGe,include,silane compound,1
silane compound,have,chemical formula,1
alkylaryl,be,halogen,1
alkylaryl,substitute,halogen,1
alkylaryl,select,halogen,1
thermal process device,treat,thermal processing chamber,1
thermal process device,include,thermal processing chamber,1
thermal processing chamber,have,distal ends,1
thermal processing chamber,oppose,distal ends,1
buffer zone,dispose,distal ends,1
buffer zone,be,distal ends,1
buffer zones,heat,thermal processing chamber,1
insulating material,be,thermal processing chamber,1
insulating material,dispose,thermal processing chamber,1
insulating material,heat,thermal processing chamber,1
case main body,configure,restricting portion,1
case main body,accommodate,restricting portion,1
restricting portion,configure,case,1
restricting portion,restrict,case,1
restricting portion,accommodate,case,1
measurement chamber,configure,entrance window,1
measurement chamber,retain,entrance window,1
entrance window,mount,measurement chamber,1
exit window,be,measurement chamber,1
exit window,mount,measurement chamber,1
light source,configure,incident light beam,1
light source,generate,incident light beam,1
exit window,form,output light beam,1
exit window,configure,output light beam,1
exit window,collect,output light beam,1
electrostatic capacitance,measure,base substrate,1
electrostatic capacitance,include,base substrate,1
circuit board,mount,base substrate,1
circuit board,be,electrostatic capacitance,1
circuit board,connect,electrostatic capacitance,1
circuit board,configure,electrostatic capacitance,1
circuit board,obtain,electrostatic capacitance,1
circuit board,indicate,electrostatic capacitance,1
Asymmetric structures,form,substrate,1
substrate,be,diffraction pattern,1
RF filter,couple,filter,1
filter,couple,processing,1
first filter stage,configure,second filter stage,1
first filter stage,reject,second filter stage,1
second filter stage,couple,third filter stage,1
second filter stage,configure,third filter stage,1
second filter stage,reject,third filter stage,1
substrate processing apparatus,include,sliding member,1
sliding member,configure,revolution mechanism,1
sliding member,rotate,revolution mechanism,1
sliding member,slide,revolution mechanism,1
revolution mechanism,configure,sliding member,1
revolution mechanism,revolve,sliding member,1
relative movement mechanism,configure,revolution trajectory,1
relative movement mechanism,move,revolution trajectory,1
oxide layer,be,sacrificial substrate,1
oxide layer,form,sacrificial substrate,1
etch stop layer,be,epitaxial layer,1
etch stop layer,form,epitaxial layer,1
epitaxial layer,be,etch stop layer,1
epitaxial layer,remove,etch stop layer,1
substrate liquid processing method,include,conversion point,1
substrate liquid processing method,immerse,conversion point,1
substrate liquid processing method,process,conversion point,1
substrate liquid processing method,detect,conversion point,1
processing condition,process,conversion point,1
processing condition,be,conversion point,1
processing chamber,use,plasma,1
hydrocarbon gas,produce,organotin compound,1
partial etching step,etch,physical cleaning step,1
partial etching step,predetermine,physical cleaning step,1
physical cleaning step,execute,physical cleaning,1
partial etching step,expose,particles,1
physical cleaning,remove,particles,1
particles,expose,natural,1
semiconductor device,include,protective material,1
protective material,compose,urea bond,1
protective material,have,urea bond,1
urea bond,supply,semiconductor device,1
urea bond,manufacture,semiconductor device,1
semiconductor substrate,form,surfactant solution,1
surfactant solution,form,semiconductor substrate,1
surfactant solution,detach,semiconductor substrate,1
surfactant solution,polish,semiconductor substrate,1
semiconductor substrate,be,surfactant solution,1
semiconductor substrate,comprise,surfactant solution,1
laser irradiation device,include,light source,1
amorphous silicon thin film,mount,laser beam,1
amorphous silicon thin film,move,laser beam,1
projection mask,provide,projection lens,1
projection lens,emit,laser beam,1
processing film,make,holding plate,1
processing film,form,holding plate,1
processing film,place,holding plate,1
holding plate,incorporate,preheating mechanism,1
preheating temperature,be,polymers,1
preheating temperature,direct,polymers,1
preheating temperature,comprise,polymers,1
polymers,constitute,processing film,1
semiconductor process,include,spacer layer,1
semiconductor process,form,spacer layer,1
mandrels,be,mask layer,1
mandrels,dispose,mask layer,1
spacer layer,dispose,mandrels,1
spacer layer,oppose,mandrels,1
mandrels,define,dummy material,1
mandrels,fill,dummy material,1
first material,remove,dummy material,1
first material,remain,dummy material,1
dummy material,remove,mandrels,1
mandrels,remove,dummy material,1
integrated system operation method,disclose,metrology apparatus,1
integrated system operation method,include,metrology apparatus,1
integrated system operation method,measure,metrology apparatus,1
information,be,process apparatus,1
information,send,process apparatus,1
gate structure,form,spacer,1
semiconductor structure,include,hard mask structure,1
semiconductor structure,form,hard mask structure,1
elementary heterostructure,include,semiconductor structure,1
elementary heterostructure,produce,semiconductor structure,1
elementary heterostructure,comprise,semiconductor structure,1
resistivity,locate,electrically conductive structures,1
resistivity,cut,electrical discharge machining,1
electrical discharge machining,define,elementary heterostructure,1
semiconductor structure,be,electrically conductive structures,1
susceptor,dispose,radiant heat,1
susceptor,receive,radiant heat,1
susceptor,absorb,radiant heat,1
susceptor,radiate,radiant heat,1
ingot grinding unit,grind,laser irradiation unit,1
ingot grinding unit,planarize,laser irradiation unit,1
ceramic heater,include,lower surface,1
tubular shaft,connect,lower end surface,1
resistive heating elements,embed,inner surface,1
resistive heating elements,extend,inner surface,1
ceramic dielectric substrate,have,second major surfaces,1
teaching method,accord,embodiment,1
embodiment,be,transfer device,1
transfer device,include,substrate holding unit,1
substrate holding unit,include,suction port,1
suction port,hold,actuation mechanism,1
suction port,apply,actuation mechanism,1
actuation mechanism,move,substrate holding unit,1
pressure detecting unit,detect,suction port,1
pressure detecting unit,communicate,suction port,1
substrate treatment method,perform,substrate treatment device,1
lift pin,eject,fluid ejection unit,1
vacuum adjustment device,have,coupling,1
coupling,couple,active element,1
drive unit,adjust,coupling,1
separating device,separate,drive unit,1
separating device,wherein,drive unit,1
coupling,have,locking element,1
locking element,cooperate,collet,1
collet,be,locking element,1
collet,arrange,locking element,1
collet,parallel,locking element,1
collet,receive,locking element,1
locking element,be,collet,1
coupling,provide,open changing state,1
semiconductor device,coat,etch stop material,1
etch stop material,wherein,anisotropic etching,1
etch stop material,comprise,anisotropic etching,1
etch stop material,perform,anisotropic etching,1
etch stop material,complete,semiconductor device,1
semiconductor device,comprise,isotropic etching,1
semiconductor device,form,isotropic etching,1
semiconductor device,perform,isotropic etching,1
isotropic etching,involve,semiconductor device,1
isotropic etching,direct,semiconductor device,1
isotropic etching,reach,semiconductor device,1
second conductive feature,dispose,semiconductor substrate,1
structure,form,first dielectric structure,1
first dielectric structure,transform,sidewall portion,1
first dielectric structure,be,ive structure,1
first dielectric structure,remain,ive structure,1
Processing methods,be,contact region,1
Processing methods,perform,contact region,1
Processing methods,expose,contact region,1
hard mask,select,second dielectric material,1
field insulating layer,include,top surface,1
second field insulating layer,include,top surface,1
field,insulate,layer,1
gate,include,gate dielectric layer,1
semiconductor device structure,cover,fin structure,1
ers,achieve,device performance,1
ers,increase,device performance,1
semiconductor substrate surface,be,semiconductor fins,1
semiconductor substrate surface,etch,semiconductor fins,1
semiconductor substrate surface,form,semiconductor fins,1
semiconductor fins,have,concave sidewall surfaces,1
thermal anneal process,be,channel regions,1
thermal anneal process,perform,channel regions,1
thermal anneal process,drive,channel regions,1
thermal anneal process,form,channel regions,1
static random access memory bit cells,include,complementary field effect transistors,1
complementary field effect transistors,form,bit cells,1
region,include,gate stack layer,1
region,form,gate stack layer,1
gate stack layer,form,first gate stack,1
second gate stack,etch,etchant concentrations,1
second gate stack,apply,etchant concentrations,1
dual damascene etch,provide,contact hole,1
contact hole,remove,air gaps,1
contact hole,form,air gaps,1
interconnection layer,have,first,1
first insulating layer,be,interconnection layer,1
first insulating layer,expose,interconnection layer,1
interconnection layer,form,second,1
interconnection layer,have,second,1
insulating layer,be,connection layer,1
insulating layer,expose,connection layer,1
connection layer,form,non-bonded surface,1
insulating layer,make,first,1
partial area,contain,layer,1
layer,connect,conductive layer,1
ive layer,bond,insulating layer,1
insulating layer,exclude,non-bonded surface,1
SAR SRAM cell,rout,integrated circuit,1
SAR SRAM cell,be,DPT,1
first electrode layers,stack,conductive layer,1
